This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202407 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193007,   2.6405,   1.3146,  12.9011,   2.6771,   1.2934,   7.7565,   6.0623,   4.2185,   2.4216,   0.8179,   6.0498,   5.5553,   1.7020,   4.1987,   2.8600,   5.3373,   4.0818,   3.8352,   1.9548,  -0.4418,   4.9331,   3.7067,   3.1710,   1.8223,   7.3314
193008,  -9.3290,  -8.5398,  -3.2926,  -6.1640,  -3.6636,  -4.4676,   0.1254,  -1.0155,  -3.1903,  -0.9432,  -2.7311,  -1.8643,  -2.0854,  -1.2706,  -1.2090,   1.3156,  -0.8755,  -2.0682,  -2.7638,   4.9078,   0.9282,  -0.7224,  -0.1182,  -2.1284, -24.0437
193009, -30.8037, -33.7274, -29.9790, -19.5012, -19.6353, -15.2450, -15.2563, -14.8783, -16.0960, -19.7511, -13.7596, -15.4567, -12.7573, -16.1683, -21.7125, -13.7326, -15.2042, -13.6910, -13.1508, -22.8546, -12.8916, -12.3283,  -9.7687, -15.0553, -28.0576
193010, -31.8635, -10.3738,  -6.8098, -15.1500, -10.1433,  -6.2248, -11.7782, -11.2200, -10.1315,  -8.3386, -14.0466,  -9.1060,  -6.6548, -11.8335, -18.7547, -11.8250,  -9.6958,  -8.4578, -11.7282, -12.5795, -10.2700,  -7.0310,  -7.4070,  -8.9405, -20.0000
193011,  19.7776, -15.4883,  -4.4972,  -1.5443,  -3.7321,  -6.9593,   1.7020,  -3.8494,  -3.0114,  -4.3808,  -1.0554,  -1.1602,  -2.7643,   1.9886,  -6.5285,  -0.8948,   0.3194,  -2.9152,  -5.4844,   2.0773,  -2.9708,  -1.7610,  -5.1316,  -7.7659, -12.5000
193012, -18.3651, -25.1568, -24.3865, -14.3946, -17.2775, -15.2662, -12.6394, -13.3714, -16.9290, -18.6827,  -6.6038, -10.2426,  -8.6266, -12.6863, -17.5956,  -9.2085, -10.0719, -12.7706, -11.0177, -17.5699,  -5.8606,  -8.9488,  -8.0741, -11.9231, -30.0000
193101, -23.7063,  22.1097,  15.7748,  16.6690,  19.4220,  13.0969,  10.9324,  11.7510,  13.8371,  15.2454,  10.8932,   8.5122,   8.7531,   7.7013,  18.5266,   7.2424,   6.2734,   4.8059,   7.9245,  11.8036,   4.1116,   4.4425,   7.3412,  16.3660,  34.6939
193102,  17.7692,  20.6779,  48.6609,  23.7205,  23.7275,   8.8192,  10.9232,  10.5409,  11.0134,  15.4724,  15.2209,  13.9313,  12.5295,  10.6297,  12.5007,  12.9839,  11.3025,   7.9336,   6.7515,  17.0764,  13.3796,   8.7571,   4.3280,   6.6379,  42.4242
193103,  -7.7882,   0.7521,  -1.7800,  -5.7519,  -8.7714,  -2.2779,  -9.3519,   4.1485,  -6.0062,   1.3334,  -1.6608,  -8.2578,  -4.7311,  -5.8466, -12.6798,  -7.7542,  -7.0566,  -9.0378, -11.9323,  -0.8417,  -4.0948,  -9.0666,  -9.9420, -11.5616, -19.6809
193104, -15.3550, -25.6785, -23.8191, -15.0683, -16.1929, -16.7635, -17.6126, -12.7213, -14.9952, -20.9237, -12.0957, -14.1470, -13.5815, -18.2145, -17.6793, -13.8381, -11.0959, -15.9975, -12.5160,  -4.2043,  -9.2654,  -8.4290, -10.9132, -10.4999, -23.8411
