This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202407 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and BEME.

The portfolios are constructed at the end of June.  BEME is book value at the last fiscal year end of the prior calendar year
divided by ME at the end of December of the prior year. 
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
  2013,  43.0614,  43.1635,  44.2222,  50.4672,  45.4723,  50.4839,  36.3679,  41.2670,  38.1429,  45.2768,  35.2202,  45.8864,  33.8122,  39.1419,  40.7254,  39.6144,  33.6360,  29.6630,  40.9263,  41.0648,  33.3485,  32.5181,  33.2813,  28.8645,  48.3495
  2014,  -7.8816,   3.5094,  -4.4494,   2.5892,   1.7836,   6.5147,   8.2970,   6.2270,  -0.2300,  -5.6922,  10.3835,   4.8876,   0.1531,   3.2114,   0.5430,  10.4120,   3.4475,  15.0109,   4.8751,   0.5236,  11.8430,   9.7638,  14.3123,   7.9868,   9.2992
  2015, -11.9876, -11.0754,  -5.3685, -12.4658,  -8.9404,  -3.0046,  -0.3717,  -2.8188,  -4.2761, -17.7191,  -1.2653,   0.8340,  -2.5346, -13.4586, -16.9059,  -5.9913,  -0.3720,  -4.8566,  -9.0976, -10.8207,   3.6899,  -8.2460,  -3.5687,  -5.6708, -12.6396
  2016,  -2.2442,  -1.5188,  18.1300,  21.6722,  31.2467,   5.7014,  20.9126,  22.2422,  33.8354,  36.0986,   2.6155,  13.7219,  25.2514,  33.7278,  46.8519,   5.3289,  10.8611,  24.4150,  12.1730,  33.1872,   3.1830,  13.9275,  20.4708,  22.3420,  19.0825
  2017,  14.7489,   2.7528,  24.8062,  17.7714,  14.9592,  31.6862,  18.7765,   9.9385,   8.8364,   3.1672,  28.9058,  14.2625,  15.6010,   8.3082,   4.2780,  29.0676,  24.5876,  17.7219,  12.0538,   9.1655,  24.1788,  23.0714,  13.7606,  13.8216,   9.5777
  2018, -23.5978, -18.6507, -26.0577, -16.1944, -23.3288,  -4.9038,  -7.3705, -12.3640, -17.6055, -10.5073, -11.6307,  -8.6752, -14.5922, -13.4281, -20.7344,  -4.4572, -10.4468, -15.0483, -18.8104, -16.4886,  -2.7293,  -7.7316, -11.6377, -15.2873, -20.9025
  2019,  32.5353,  19.0665,  10.9298,  13.3623,  11.5849,  38.7198,  27.6829,  31.4534,  17.1580,  11.7465,  32.5807,  27.5147,  30.8003,  23.3922,  13.8984,  33.0701,  30.2423,  30.1848,  25.4029,  15.8947,  32.2351,  29.7548,  28.6660,  22.1931,  16.7660
  2020,  59.5364,  72.7768,  72.6646,  23.7270,  47.8581,  38.3562,  30.3590,   7.4900,  -3.5544,  16.5082,  56.4651,  34.1134,   4.5645,  10.0101,   0.2369,  45.5098,  16.1330,   7.4639,   3.1469,  -7.9943,  31.6894,  15.5078,   2.1563, -11.9609,   4.0409
  2021, -11.0242,  10.8714,  15.1218,  21.6695,  68.9302,  -3.3482,   8.9704,  31.1533,  33.6764,  42.7739,  -2.1759,  16.2071,  23.9249,  21.2008,  38.2656,   1.3948,  21.0863,  26.8075,  35.0589,  36.0856,  20.8208,  18.6056,  21.8762,  28.0099,  39.0842
  2022, -41.4736, -42.5105, -34.8856, -32.1492, -20.1961, -34.4615, -27.0574, -23.5984,  -6.7951,  -7.6630, -32.9662, -18.2899, -12.4385, -11.5156,  -1.8277, -30.0116, -17.1926, -11.7897, -10.2165,  -1.5568, -27.2257,  -9.1326, -11.3186,   0.7751,  -6.8264
  2023,  -6.8847,  -8.6608,   8.3149,  18.6244,   2.8290,  12.1156,  24.4726,  24.3722,  15.9761,  10.3329,  26.8969,  23.4489,  12.8232,  17.4712,  11.6804,  25.8359,  21.3679,   9.5545,  17.5520,   1.0962,  29.5896,  10.5376,   6.3658,   4.9206,   5.3663


  Number of Firms in Portfolios
,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
192607,      7,      6,     11,     18,     38,     15,     10,     16,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     20,     12,      3
192608,      7,      6,     11,     18,     38,     15,     10,     16,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     20,     12,      3
192609,      7,      6,     11,     18,     38,     15,     10,     16,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192610,      7,      6,     11,     18,     38,     15,     10,     16,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192611,      7,      6,     11,     18,     38,     15,     10,     16,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192612,      7,      6,     11,     18,     38,     15,     10,     15,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192701,      7,      6,     11,     18,     37,     15,     10,     15,     18,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192702,      7,      6,     11,     17,     36,     15,     10,     15,     17,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192703,      7,      6,     11,     17,     36,     15,     10,     15,     17,     24,     14,     23,     13,     23,     14,     19,     21,     25,     15,      7,     30,     26,     19,     12,      3
192704,      7,      6,     11,     17,     36,     15,     10,     15,     17,     24,     14,     23,     13,     23,     14,     19,     21,     24,     15,      7,     30,     26,     19,     12,      3
192705,      7,      6,     11,     17,     36,     15,     10,     15,     17,     24,     14,     23,     13,     23,     14,     19,     21,     24,     15,      7,     30,     26,     19,     12,      3
192706,      7,      6,     11,     17,     36,     15,      9,     15,     17,     24,     14,     23,     13,     23,     14,     19,     21,     24,     15,      7,     30,     26,     19,     12,      3
192707,      3,      8,     12,     19,     44,     13,     15,     24,     16,     21,     21,     18,     17,     22,     17,     23,     26,     20,     19,      8,     33,     26,     19,     17,      3
192708,      3,      8,     12,     19,     43,     13,     15,     24,     16,     21,     21,     18,     17,     22,     17,     23,     26,     20,     19,      8,     33,     26,     19,     17,      3
192709,      3,      8,     12,     19,     43,     13,     15,     24,     16,     21,     21,     18,     17,     22,     17,     23,     26,     20,     19,      8,     33,     26,     19,     17,      3
192710,      3,      8,     12,     19,     43,     13,     15,     24,     16,     21,     21,     18,     17,     22,     17,     23,     26,     20,     19,      8,     33,     26,     19,     17,      3
192711,      2,      8,     12,     19,     42,     13,     15,     24,     16,     21,     21,     18,     16,     22,     17,     23,     26,     20,     19,      8,     32,     26,     19,     17,      3
192712,      2,      8,     12,     19,     42,     13,     15,     24,     16,     21,     21,     18,     16,     22,     17,     23,     26,     20,     19,      8,     32,     26,     19,     17,      3
192801,      2,      8,     12,     19,     42,     12,     15,     24,     16,     21,     21,     18,     16,     22,     17,     23,     26,     20,     19,      8,     32,     26,     19,     17,      3
192802,      2,      8,     12,     19,     42,     12,     15,     24,     16,     21,     21,     18,     16,     22,     17,     23,     26,     20,     19,      8,     32,     26,     19,     17,      3
192803,      2,      8,     12,     19,     42,     12,     15,     24,     16,     21,     20,     18,     16,     22,     17,     23,     25,     20,     19,      8,     32,     26,     19,     17,      3
192804,      2,      8,     12,     19,     42,     12,     15,     24,     16,     21,     20,     18,     16,     22,     17,     23,     25,     20,     19,      8,     32,     26,     19,     17,      3
192805,      2,      8,     12,     19,     42,     12,     15,     24,     16,     21,     20,     18,     16,     22,     17,     23,     24,     20,     19,      8,     32,     26,     19,     17,      3
192806,      2,      8,     12,     19,     41,     12,     15,     24,     16,     21,     20,     18,     16,     22,     17,     23,     24,     20,     19,      8,     32,     26,     19,     17,      3
192807,      4,      4,     12,     21,     49,     13,     22,     20,     19,     21,     19,     20,     19,     23,     17,     24,     29,     22,     20,      6,     37,     22,     25,     14,      4
192808,      4,      4,     12,     20,     49,     13,     22,     20,     19,     21,     19,     20,     19,     23,     17,     24,     29,     22,     20,      6,     37,     22,     25,     14,      4
192809,      4,      4,     12,     20,     49,     13,     22,     20,     19,     21,     19,     20,     19,     23,     17,     24,     29,     22,     20,      6,     37,     22,     25,     14,      4
192810,      4,      4,     12,     20,     49,     13,     22,     20,     19,     21,     19,     20,     19,     23,     17,     24,     29,     22,     20,      6,     36,     22,     25,     14,      4
192811,      4,      4,     12,     20,     49,     13,     22,     20,     19,     21,     19,     20,     19,     23,     17,     24,     29,     22,     20,      6,     36,     22,     25,     14,      4
192812,      4,      4,     12,     20,     49,     13,     22,     20,     19,     21,     19,     20,     19,     23,     16,     24,     29,     22,     20,      6,     36,     22,     25,     14,      4
192901,      4,      4,     12,     20,     48,     12,     22,     19,     19,     21,     18,     20,     19,     23,     16,     24,     29,     22,     20,      6,     36,     22,     25,     14,      4
192902,      4,      4,     12,     20,     48,     12,     22,     19,     19,     21,     18,     20,     19,     23,     16,     24,     29,     22,     20,      6,     36,     22,     25,     14,      4
192903,      4,      4,     12,     20,     48,     12,     22,     19,     19,     21,     18,     20,     19,     23,     16,     24,     29,     21,     20,      6,     36,     22,     25,     14,      4
192904,      4,      4,     12,     20,     48,     12,     22,     19,     19,     21,     18,     20,     19,     23,     16,     24,     29,     21,     20,      6,     36,     22,     25,     14,      4
192905,      4,      4,     12,     20,     48,     12,     22,     19,     19,     21,     17,     20,     19,     23,     16,     24,     29,     21,     19,      6,     36,     22,     25,     14,      4
192906,      4,      4,     12,     20,     48,     12,     22,     19,     19,     21,     17,     20,     19,     22,     16,     24,     29,     21,     19,      6,     36,     22,     25,     14,      4
192907,      2,     10,     13,     19,     55,     10,     18,     23,     23,     24,     20,     28,     18,     25,     12,     28,     23,     31,     17,      8,     43,     25,     18,     20,      5
192908,      2,     10,     13,     19,     55,     10,     18,     23,     23,     24,     20,     28,     18,     25,     12,     27,     23,     31,     17,      8,     43,     25,     18,     20,      5
192909,      2,     10,     13,     19,     55,     10,     18,     23,     23,     24,     20,     28,     18,     25,     12,     27,     23,     31,     17,      8,     43,     24,     18,     20,      5
192910,      2,     10,     13,     19,     55,     10,     18,     23,     22,     24,     20,     28,     18,     25,     12,     27,     23,     31,     17,      8,     42,     24,     18,     20,      5
192911,      2,     10,     13,     19,     55,     10,     18,     23,     22,     24,     20,     28,     18,     25,     12,     27,     23,     31,     17,      8,     42,     24,     18,     20,      5
192912,      2,     10,     13,     19,     55,     10,     18,     23,     22,     24,     20,     28,     18,     25,     12,     27,     23,     30,     17,      8,     42,     24,     18,     20,      5
193001,      2,     10,     13,     19,     55,     10,     18,     23,     22,     24,     20,     28,     17,     25,     12,     27,     23,     30,     17,      8,     42,     24,     18,     20,      5
193002,      2,     10,     13,     19,     54,     10,     18,     23,     22,     24,     20,     28,     17,     24,     12,     27,     23,     30,     17,      8,     42,     24,     18,     20,      5
193003,      2,      9,     13,     19,     54,     10,     18,     23,     22,     24,     20,     28,     17,     24,     12,     27,     22,     30,     17,      8,     42,     24,     18,     20,      5
193004,      2,      9,     12,     19,     53,     10,     18,     23,     22,     24,     20,     28,     17,     24,     12,     27,     22,     28,     17,      8,     42,     24,     18,     20,      5
193005,      2,      9,     12,     19,     53,     10,     18,     23,     22,     24,     20,     28,     17,     24,     12,     27,     22,     28,     17,      8,     42,     24,     18,     20,      5
193006,      2,      9,     12,     19,     52,     10,     18,     23,     22,     24,     20,     28,     17,     23,     12,     26,     22,     28,     17,      8,     42,     24,     18,     20,      5
193007,      4,      3,      6,     27,     79,     12,     22,     24,     32,     21,     19,     29,     30,     29,     11,     27,     35,     34,     18,      5,     56,     29,     23,     12,      1
193008,      4,      3,      6,     27,     79,     12,     22,     24,     32,     21,     19,     29,     30,     29,     11,     27,     35,     34,     18,      5,     56,     28,     23,     12,      1
193009,      4,      3,      6,     27,     79,     12,     22,     24,     32,     21,     19,     29,     30,     29,     11,     27,     35,     34,     18,      5,     56,     28,     23,     12,      1
193010,      4,      3,      6,     27,     79,     12,     22,     24,     32,     21,     19,     29,     30,     29,     11,     27,     35,     34,     17,      5,     56,     28,     23,     12,      1
193011,      4,      3,      6,     26,     79,     12,     22,     24,     32,     21,     19,     29,     30,     29,     11,     27,     35,     34,     17,      5,     56,     28,     23,     12,      1
193012,      4,      3,      6,     26,     79,     12,     22,     24,     32,     21,     19,     29,     30,     29,     11,     27,     35,     34,     17,      5,     56,     28,     23,     12,      1
193101,      4,      3,      6,     26,     78,     12,     22,     24,     32,     21,     18,     29,     30,     29,     11,     27,     35,     34,     17,      5,     56,     28,     23,     12,      1
193102,      4,      3,      6,     26,     76,     12,     22,     24,     32,     21,     18,     29,     30,     29,     11,     27,     35,     34,     17,      5,     56,     28,     23,     12,      1
193103,      4,      3,      6,     26,     75,     12,     22,     24,     32,     21,     18,     29,     30,     29,     11,     27,     35,     34,     16,      5,     56,     28,     23,     12,      1
193104,      4,      3,      6,     26,     74,     12,     22,     24,     32,     21,     18,     29,     30,     29,     11,     27,     35,     34,     16,      5,     56,     28,     23,     12,      1
193105,      4,      3,      5,     26,     74,     12,     22,     24,     32,     21,     18,     29,     30,     29,     11,     27,     35,     34,     16,      5,     56,     28,     23,     12,      1
193106,      4,      3,      5,     26,     73,     12,     22,     24,     32,     21,     18,     29,     30,     29,     11,     27,     35,     34,     16,      5,     56,     28,     23,     12,      1
193107,      2,      6,     10,     27,     76,      8,     20,     24,     34,     30,     16,     31,     36,     29,     13,     35,     34,     29,     26,      4,     63,     33,     24,      7,      1
193108,      2,      6,     10,     27,     75,      8,     20,     24,     34,     30,     16,     31,     36,     29,     13,     35,     34,     29,     26,      4,     63,     33,     24,      7,      1
193109,      2,      6,     10,     27,     75,      8,     20,     24,     34,     30,     16,     31,     36,     29,     13,     35,     34,     29,     26,      4,     62,     33,     24,      7,      1
193110,      2,      6,     10,     27,     74,      8,     20,     24,     34,     30,     16,     30,     36,     29,     13,     35,     34,     29,     25,      4,     62,     33,     24,      7,      1
193111,      2,      6,     10,     27,     74,      8,     20,     24,     34,     30,     16,     30,     36,     29,     13,     35,     34,     29,     25,      4,     62,     33,     24,      7,      1
193112,      2,      6,      9,     27,     74,      8,     20,     24,     34,     30,     16,     30,     36,     29,     13,     35,     34,     29,     25,      4,     62,     33,     24,      7,      1
193201,      2,      6,      9,     27,     74,      8,     20,     24,     34,     30,     16,     30,     36,     29,     13,     35,     34,     29,     25,      4,     62,     33,     24,      7,      1
193202,      2,      6,      9,     27,     74,      8,     20,     24,     34,     30,     16,     30,     36,     29,     13,     35,     34,     29,     25,      4,     62,     33,     24,      7,      1
193203,      2,      5,      9,     27,     74,      7,     20,     24,     34,     30,     16,     30,     36,     29,     13,     35,     34,     29,     25,      4,     62,     33,     24,      7,      1
193204,      2,      5,      9,     27,     73,      7,     20,     24,     34,     30,     16,     30,     36,     29,     12,     35,     34,     29,     25,      3,     62,     33,     23,      7,      1
193205,      2,      5,      9,     27,     73,      7,     20,     24,     34,     30,     16,     30,     36,     29,     12,     35,     34,     29,     25,      3,     62,     33,     23,      7,      1
193206,      2,      5,      9,     27,     71,      7,     20,     23,     34,     30,     16,     30,     36,     29,     11,     35,     34,     29,     25,      3,     62,     33,     23,      7,      1
193207,      2,      4,      9,     32,     61,      4,     15,     26,     32,     36,     21,     26,     40,     23,     15,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193208,      2,      4,      9,     32,     59,      4,     15,     26,     32,     36,     21,     26,     40,     23,     15,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193209,      2,      4,      9,     32,     59,      4,     15,     26,     31,     36,     21,     26,     40,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193210,      2,      4,      9,     32,     59,      4,     15,     26,     31,     36,     21,     26,     40,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193211,      2,      4,      9,     32,     58,      4,     15,     26,     31,     36,     21,     26,     40,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193212,      2,      4,      9,     31,     56,      4,     15,     26,     31,     36,     21,     26,     39,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193301,      2,      4,      9,     31,     56,      4,     15,     26,     31,     36,     21,     26,     39,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193302,      2,      4,      9,     31,     56,      4,     15,     26,     31,     36,     21,     25,     39,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193303,      2,      4,      9,     31,     56,      4,     15,     26,     31,     35,     21,     25,     38,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193304,      2,      4,      9,     31,     56,      4,     15,     26,     31,     35,     21,     25,     38,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193305,      2,      4,      9,     31,     55,      4,     15,     26,     31,     34,     21,     25,     38,     23,     14,     25,     48,     27,     17,      6,     67,     26,     16,     15,      1
193306,      2,      4,      8,     29,     55,      4,     15,     26,     31,     34,     21,     25,     38,     23,     14,     25,     48,     26,     17,      6,     67,     26,     16,     15,      1
193307,      1,     10,     13,     34,     53,     12,     18,     33,     29,     24,     15,     25,     31,     28,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193308,      1,     10,     13,     34,     53,     12,     18,     33,     29,     24,     15,     25,     31,     28,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193309,      1,     10,     13,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     28,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193310,      1,     10,     13,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     28,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193311,      1,     10,     13,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     28,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193312,      1,     10,     13,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193401,      1,     10,     12,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193402,      1,     10,     12,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193403,      1,     10,     12,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193404,      1,     10,     12,     34,     52,     12,     18,     33,     29,     24,     15,     25,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193405,      1,     10,     12,     34,     51,     12,     18,     33,     29,     24,     15,     24,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193406,      1,     10,     12,     34,     51,     12,     18,     33,     29,     24,     15,     24,     31,     27,     27,     35,     36,     24,     18,     12,     58,     32,     19,     12,      5
193407,      6,      7,     16,     33,     48,      8,     18,     23,     38,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193408,      6,      7,     16,     33,     48,      8,     18,     23,     38,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193409,      6,      7,     16,     33,     48,      8,     18,     23,     38,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193410,      6,      7,     15,     33,     48,      8,     18,     23,     36,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193411,      6,      7,     15,     33,     47,      8,     18,     23,     36,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193412,      6,      7,     15,     33,     47,      8,     18,     23,     36,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193501,      6,      7,     14,     33,     47,      8,     18,     23,     36,     34,     18,     26,     30,     27,     22,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193502,      5,      7,     14,     33,     47,      8,     18,     23,     36,     34,     18,     26,     30,     27,     21,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193503,      5,      7,     14,     33,     47,      8,     18,     23,     36,     34,     18,     26,     30,     27,     21,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193504,      5,      7,     14,     32,     47,      8,     18,     23,     36,     34,     18,     26,     30,     27,     21,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193505,      5,      7,     14,     32,     47,      8,     18,     23,     36,     34,     17,     26,     30,     27,     21,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193506,      5,      7,     14,     32,     47,      8,     18,     23,     36,     34,     17,     26,     30,     27,     21,     38,     35,     27,     14,     11,     52,     36,     26,     10,      6
193507,      5,      7,     12,     33,     52,      8,     20,     30,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193508,      5,      7,     12,     32,     52,      8,     20,     30,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193509,      5,      7,     12,     32,     52,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193510,      5,      7,     12,     32,     52,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193511,      5,      7,     12,     32,     52,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193512,      5,      7,     12,     32,     51,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193601,      5,      7,     12,     32,     51,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193602,      5,      7,     12,     32,     50,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193603,      5,      7,     12,     32,     49,      8,     20,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193604,      5,      7,     12,     32,     49,      8,     19,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193605,      5,      7,     12,     32,     49,      8,     19,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193606,      5,      7,     12,     32,     49,      8,     19,     29,     34,     28,     14,     25,     38,     24,     20,     39,     42,     20,     16,     12,     56,     28,     22,     15,      9
193607,      5,      6,     13,     32,     61,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     27,     19,     15,     46,     28,     32,     17,     10
193608,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     27,     19,     15,     46,     28,     32,     17,     10
193609,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     27,     19,     15,     46,     28,     32,     17,     10
193610,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     27,     19,     15,     46,     27,     32,     17,     10
193611,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     27,     19,     15,     46,     27,     32,     17,     10
193612,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     27,     19,     15,     46,     27,     31,     17,     10
193701,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     26,     19,     15,     46,     27,     31,     17,     10
193702,      5,      6,     13,     32,     59,     16,     25,     29,     32,     20,     22,     32,     25,     25,     19,     36,     34,     26,     19,     15,     46,     27,     31,     17,     10
193703,      5,      6,     13,     32,     59,     16,     25,     29,     32,     19,     22,     32,     25,     25,     19,     36,     34,     26,     19,     15,     46,     27,     31,     17,     10
193704,      5,      6,     13,     31,     59,     16,     25,     29,     32,     19,     22,     32,     25,     25,     18,     36,     34,     26,     19,     15,     46,     27,     31,     17,     10
193705,      5,      6,     13,     31,     59,     16,     25,     29,     32,     19,     22,     32,     25,     25,     18,     36,     34,     26,     19,     15,     46,     27,     31,     17,     10
193706,      5,      6,     13,     31,     59,     16,     25,     29,     32,     19,     22,     32,     25,     25,     18,     36,     34,     26,     19,     15,     46,     27,     31,     17,     10
193707,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193708,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193709,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193710,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193711,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193712,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193801,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193802,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193803,      9,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193804,      8,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193805,      8,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193806,      8,      7,     20,     24,     64,     18,     25,     28,     35,     19,     31,     31,     25,     26,     19,     29,     38,     29,     26,     15,     45,     31,     29,     21,     15
193807,      7,      2,     13,     40,     70,     11,     29,     36,     36,     27,     27,     27,     37,     28,     20,     34,     41,     33,     21,     15,     61,     40,     20,     15,      8
193808,      6,      2,     13,     40,     69,     11,     29,     36,     36,     27,     27,     27,     36,     28,     20,     34,     41,     33,     21,     15,     61,     40,     20,     15,      8
193809,      6,      2,     13,     40,     69,     11,     29,     36,     36,     27,     27,     27,     36,     28,     20,     34,     41,     33,     21,     15,     61,     40,     20,     15,      8
193810,      5,      2,     13,     40,     69,     11,     29,     36,     36,     27,     27,     27,     36,     28,     20,     34,     41,     33,     21,     15,     61,     40,     20,     15,      8
193811,      5,      2,     13,     40,     69,     11,     29,     36,     36,     27,     27,     27,     36,     28,     20,     34,     41,     33,     21,     15,     61,     40,     20,     15,      8
